x,T,thermo:psi,rho,thermo:mu,thermo:alpha,thermo:as,thermo:Z,Cp,he
2.49875e-07,90.0325,6.04338e-06,856.634,0.00018411,7.8863e-05,630.292,0.205223,2005.17,-402552
7.49625e-07,90.13,6.05753e-06,856.043,0.00018321,7.8653e-05,629.292,0.205143,2006.42,-402356
1.24938e-06,90.26,6.07645e-06,855.253,0.000182017,7.83731e-05,627.961,0.205036,2008.1,-402095
1.74913e-06,90.39,6.09545e-06,854.462,0.000180832,7.80934e-05,626.632,0.204931,2009.79,-401834
2.24888e-06,90.52,6.11453e-06,853.669,0.000179657,7.78137e-05,625.305,0.204827,2011.49,-401572
2.74863e-06,90.65,6.13369e-06,852.874,0.00017849,7.75341e-05,623.98,0.204724,2013.2,-401311
3.24838e-06,90.78,6.15293e-06,852.077,0.000177332,7.72547e-05,622.657,0.204622,2014.92,-401049
3.74813e-06,90.91,6.17226e-06,851.279,0.000176182,7.69754e-05,621.336,0.204521,2016.65,-400787
4.24788e-06,91.04,6.19167e-06,850.479,0.000175041,7.66962e-05,620.017,0.204421,2018.4,-400525
4.74763e-06,91.17,6.21116e-06,849.677,0.000173909,7.64171e-05,618.7,0.204322,2020.15,-400262
5.24738e-06,91.3,6.23073e-06,848.873,0.000172785,7.61381e-05,617.386,0.204225,2021.92,-399999
5.74713e-06,91.43,6.25039e-06,848.067,0.000171669,7.58593e-05,616.073,0.204128,2023.69,-399736
6.24688e-06,91.56,6.27014e-06,847.259,0.000170562,7.55806e-05,614.762,0.204032,2025.48,-399473
6.74663e-06,91.69,6.28997e-06,846.45,0.000169463,7.5302e-05,613.453,0.203938,2027.28,-399210
7.24638e-06,91.82,6.30989e-06,845.639,0.000168372,7.50236e-05,612.147,0.203845,2029.09,-398946
7.74613e-06,91.95,6.32989e-06,844.826,0.00016729,7.47453e-05,610.842,0.203752,2030.92,-398682
8.24588e-06,92.08,6.34998e-06,844.011,0.000166215,7.44671e-05,609.539,0.203661,2032.75,-398418
8.74563e-06,92.21,6.37016e-06,843.194,0.000165149,7.41891e-05,608.238,0.203571,2034.6,-398154
9.24538e-06,92.34,6.39042e-06,842.375,0.00016409,7.39112e-05,606.939,0.203482,2036.46,-397889
9.74513e-06,92.47,6.41078e-06,841.554,0.00016304,7.36335e-05,605.642,0.203394,2038.33,-397624
1.02449e-05,92.6,6.43123e-06,840.731,0.000161997,7.33559e-05,604.347,0.203307,2040.21,-397359
1.07446e-05,92.73,6.45176e-06,839.907,0.000160962,7.30784e-05,603.054,0.203222,2042.1,-397094
1.12444e-05,92.86,6.47239e-06,839.08,0.000159935,7.28011e-05,601.763,0.203137,2044.01,-396828
1.17441e-05,92.99,6.49311e-06,838.252,0.000158915,7.2524e-05,600.474,0.203053,2045.93,-396562
1.22439e-05,93.12,6.51392e-06,837.422,0.000157903,7.22471e-05,599.186,0.202971,2047.86,-396296
1.27436e-05,93.25,6.53482e-06,836.59,0.000156899,7.19703e-05,597.901,0.20289,2049.8,-396030
1.32434e-05,93.38,6.55581e-06,835.756,0.000155902,7.16936e-05,596.617,0.202809,2051.76,-395763
1.37431e-05,93.51,6.5769e-06,834.919,0.000154913,7.14171e-05,595.335,0.20273,2053.73,-395496
1.42429e-05,93.64,6.59809e-06,834.081,0.000153931,7.11408e-05,594.055,0.202652,2055.71,-395229
